Latitude,Longitude,Station,Rainfall (mm)
35.2,74.5, Astore,381.8
34,73.8,Bagh,1343.9
24.6,68.9,Badin,67.5
30,73.2, Bahawal Nagar,283.2
35.7,74.6, Bunji,1926.1
34.91,75.09,Burzil,500.5
33.817,71.883,Cherat,193
35.9,71.8,Chitral,278.2
29.9,69.7,Chhor,183.5
35.4,74.1,Chilas,145
28.88,64.4,Dalbandin,40.4
30.1,70.6,D.G. Khan,224.5
31.9,70.9,D.I.Khan (Aeromet),328.3
35.2,71.9,Dir,1339.8
35.6,71.8,Drosh,372.8
35.09,75.54,Deosai,365
31.4,73.1,Faisalabad,322.4
34.1,74.4,Gulmarg,2328.1
34.2,73.6,Garhi Dupatta,1085.8
35.9,74.3,Gilgit (P.B.O),88
36.2,73.4,Gupis,350.1
33.3,73.3,GujjarKhan,1514.1
25.1,62.3,GAWADAR,80.8
32.4,74.4,Gujranwala,1124.2
32.6,74.1,Gujrat,951.6
25.4,68.4,Hyderabad,173.4
35.42,76.37,Hushey,508.4
33.7,73.04,ISLAMABAD,1473.7
33.62,73.07,ISLAMABADAP,1160.7
32.9,73.7, Jhelum,748.3
25.1,61.8,Jiwani,30
32.5,72.4, Jauharabad,920.8
28.3,68.5,Jacobabad,184.9
34.525833,74.255278,Kupwara,1534.7
29.033,66.58,Kalat,139.8
24.9,66.9,Karachi AP,101.1
28.7,71.2,Khanpur,93.1
27.83,66.63,Khuzdar,111.8
33.6,71.45,KOHAT,427.1
33.5,73.9,Kotli,983.6
34.2,73.3,Kakul (Abbottabad),1043.8
33.4,73.4,Kallar,656.2
33.5,74.1,Khandar,742
36.84,75.42,Khunjerab,513.6
35.8,73,Kalam,724
31.11,74.45,Kasur,575.6
27.5,68.2,Larkana,50.3
31.6,74.3, Lahore PBO.,539.4
34.7,71.7,Lower Dir,960.2
33.1,73.6, Mangla,806.3
32.563,71.571,MIANWALI,319.8
30.2,71.4, Multan,403.4
33.9,73.4,Muree,1318.1
34.4,73.5, Muzaffarabad,971.9
34.8,72.9, Malam Jabba,1118.5
33,73.8, Mandi Bahauddin,832.5
25.5,69,Mirpur Khas,235.9
24.8,69.8,Mithi,274.9
28.81666667,62.75,Nokkundi,11.3
31.9,71.9,Noorpur Thal,613.1
26.2,68.4,Nawabshah,221.6
36.17,74.18,Naltar,918.7
34.9,73.7,Narran,1628.3
26.5,68.1,Padidan,21.2
27,64.1,Panjgur,96
33.9,70.1, Parachinar,678.5
25.3,63.5,Pasni,119.3
34.387779,73.547775,Pir Chenasi,938.9
34,72.5,Peshawar PBO,265.5
30.08,66.96,Quetta,298.4
30.14,66.56,QUETTAASM,228.1
35.36,74.81,Ramma,686.3
35.15,74.8,Rattu,868.3
33.9,73.7, Rawalakot,1072.1
34.07,71.99,RISALPUR,565.8
27.7,68.9,Rohri,20.2
32.1,72.7, Sargodha,611.5
32.5,74.5, Sialkot,757.5
29.55,67.88333333,Sibbi,205
35.336,75.536,Skardu,199.6
34.7,72.6, Saidu Sharif,693.6
33.7,74,Skokata,1602.4
30.7,73.2, Sahiwal,472.9
27.7,68.9,Sukkur,195.6
34.8762,73.6934,Saif Muluk,1181.6
34.1,74.8,Srinagar,590.9
35.63,75.53,Shigar,994.1
36.09,72.55,Shendoor,120.9
31,72.8,Toba Tek Sing,438.4
26,63.1,Turbat,82.9
24.8,67.9,Thatta,211.1
36.027,73.415,Ushkore,196.7
36.451,73.294,Yasin,354.3
36.352,72.169,Zani Pass,118.2
36.1,73.2,Ziarat,339.7
31.35,69.46666667,Zhob,117.7
